,time,Lat_Prim,Long_Prim,DeltaLat_Dysnomia,DeltaLong_Dysnomia,DeltaLat_Dysnomia_err,DeltaLong_Dysnomia_err,DeltaLat_Hercules,DeltaLong_Hercules,DeltaLat_Hercules_err,DeltaLong_Hercules_err
0,2453623.460350036,-14.504220375159814,20.43355284033596,-0.19383542463960143,-0.29213456441448565,0.008,0.008,-0.15283632001618144,-0.06908230534376783,0.008,0.008
1,2453707.380416155,-14.460551134367993,20.483271836708983,-0.30205701671975876,0.42999765552638136,0.006,0.006,0.14349137605589385,0.09553021761144656,0.006,0.006
2,2453967.560622394,-14.324983819190296,20.63742106821475,0.39629314926703335,-0.11680771510245276,0.01,0.01,0.15659430145393427,-0.10071946242210184,0.01,0.01
3,2453968.5306231664,-14.324475995467159,20.637997952405428,0.40147014189798336,-0.19369119217842407,0.04,0.04,-0.1356156593305669,-0.061125224033301666,0.04,0.04
4,2453977.520630329,-14.319796198554185,20.643323938688763,-0.30769916203201386,0.42232243165578487,0.03,0.03,-0.17002399300551368,-0.15425329975350513,0.03,0.03
5,2453977.81063056,-14.31963493405511,20.64349073367353,-0.2919357326834345,0.44259213564539834,0.001,0.001,-0.16373653863497997,-0.0629760673233205,0.001,0.001
6,2453978.440631062,-14.319308744165339,20.64387016610958,-0.22120532585455524,0.4635266798751075,0.01,0.01,-0.09128177937220237,0.13701442978042933,0.01,0.01
7,2454325.025989362,-14.138278783876453,20.84939210039251,-0.38823111892545936,0.06211577126420924,0.00415,0.00415,0.04214045425907108,-0.15563308693509795,0.00415,0.00415
8,2457051.1111994446,-12.702624830327133,22.475053133953534,0.3449299211267682,0.11852912556597921,0.0022600000000000003,0.0022600000000000003,0.10825357606026031,-0.08905458468096296,0.0022600000000000003,0.0022600000000000003
9,2457051.181019521,-12.702589370390315,22.475100549213447,0.35147637581511454,0.10508317134111476,0.0022600000000000003,0.0022600000000000003,0.12335230391155463,-0.08997691481777675,0.0022600000000000003,0.0022600000000000003
10,2457054.361342977,-12.700907405681868,22.476983014597558,0.30794412521779496,-0.4224974837103796,0.0022600000000000003,0.0022600000000000003,0.1441268295292805,-0.08900249939809467,0.0022600000000000003,0.0022600000000000003
11,2457054.432083054,-12.700868270168758,22.477020912555666,0.3043666716366919,-0.43407020022067266,0.0022600000000000003,0.0022600000000000003,0.147029121848554,-0.08549178736134336,0.0022600000000000003,0.0022600000000000003
12,2458119.2247108333,-12.133735432627125,23.105753923039106,0.35452509722847647,-0.3795391832399626,0.00367,0.00367,-0.07093958330693195,0.1254227926494612,0.00367,0.00367
13,2458119.423301056,-12.133627115857827,23.105863411414443,0.34682621383640055,-0.40108169158862234,0.00474,0.00474,-0.011315074037224877,0.1372608574645457,0.00474,0.00474
14,2458121.20229305,-12.1326685670837,23.106919115883695,0.1026353163300338,-0.49125024118304406,0.00595,0.00595,-0.0902886112492062,-0.12065148020352338,0.00595,0.00595
15,2458127.1719697425,-12.129478920655611,23.11044317416411,-0.33761362191978694,0.3784532647049102,0.00359,0.00359,-0.04149286414261471,-0.12665039084280327,0.00359,0.00359
16,2458128.3640210787,-12.128834338354125,23.111141867175302,-0.20738701510051838,0.48871772811823955,0.00232,0.00232,-0.0827954682404919,0.1261943018564226,0.00232,0.00232
17,2458132.403335608,-12.126677978503626,23.113525186328012,0.3578504809140698,0.11174019142286476,0.0022600000000000003,0.0022600000000000003,0.17300854553109096,0.0017886258730144084,0.0022600000000000003,0.0022600000000000003
18,2458152.13673774,-12.116116547863536,23.12517679909539,0.23183905840874638,-0.48165493179782193,0.0022600000000000003,0.0022600000000000003,-0.17394110355855127,-0.029882416796958248,0.0022600000000000003,0.0022600000000000003
