	dist. shape	uni-low	uni-up	log-uni-low	log-uni-up	norm-cen	norm-spread	log-norm-cen	log-norm-spread
mass_1	2	0	0	0	0	1.275e+19	6e+16	1.275e+19	6e+16
mass_2	2	0	0	0	0	7.5e+17	7.5e+15	7.5e+17	7.5e+15
sma_2	2	0	0	0	0	7411	12	7411	12
ecc_2	2	0	1	0	1	0.2949	0.0009	0.2949	0.0009
aop_2	2	0	180	0	180	5	1	5	1
inc_2	2	0	180	0	180	79.3	0.2	79.3	0.2
lan_2	2	0	1	0	1	325.2	0.1	325.2	0.1
mea_2	2	0	1	0	1	5	1	5	1
mass_3	2	0	0	0	0	1.275e+18	1.48e+16	1.275e+18	1.48e+16
sma_3	2	0	0	0	0	867	11	867	11
ecc_3	2	0	1	0	1	0.101	0.0006	0.101	0.0006
aop_3	2	0	180	0	180	5	1	5	1
inc_3	2	0	180	0	180	88.9	0.6	88.9	0.6
lan_3	2	0	1	0	1	330.0	1.0	330.0	1.0
mea_3	2	0	1	0	1	5	1	5	1
j2r2_1	11	1	1	1	1	1	1	1	1
c22r2_1	12	12	12	12	12	12	12	12	12
spaop_1	13	13	13	13	13	13	13	13	13
spinc_1	14	14	14	14	14	14	14	14	14
splan_1	15	15	15	15	15	15	15	15	15
sprate_1	16	16	16	16	16	16	16	16	16
